"symbol","tf","time","open","high","low","close","volume"
"XAGUSD","30m","2025-12-08T12:00:00Z","58.3421","58.515","58.3381","58.4777","3609"
"XAGUSD","30m","2025-12-08T12:30:00Z","58.4767","58.5137","58.333","58.4157","3062"
"XAGUSD","30m","2025-12-08T13:00:00Z","58.4157","58.4757","58.353","58.471","2960"
"XAGUSD","30m","2025-12-08T13:30:00Z","58.471","58.4857","58.337","58.3507","3299"
"XAGUSD","30m","2025-12-08T14:00:00Z","58.3507","58.4803","58.3428","58.443","2374"
"XAGUSD","30m","2025-12-08T14:30:00Z","58.443","58.5277","58.3967","58.5087","2830"
"XAGUSD","30m","2025-12-08T15:00:00Z","58.51","58.5283","58.1083","58.136","6197"
"XAGUSD","30m","2025-12-08T15:30:00Z","58.136","58.3887","58.0293","58.179","6460"
"XAGUSD","30m","2025-12-08T16:00:00Z","58.189","58.36","58.0283","58.2897","5693"
"XAGUSD","30m","2025-12-08T16:30:00Z","58.2887","58.3987","58.078","58.1833","11699"
"XAGUSD","30m","2025-12-08T17:00:00Z","58.1843","58.1843","57.623","57.9977","12442"
"XAGUSD","30m","2025-12-08T17:30:00Z","57.994","58.18","57.877","57.908","7080"
"XAGUSD","30m","2025-12-08T18:00:00Z","57.908","58.042","57.681","58.007","7125"
"XAGUSD","30m","2025-12-08T18:30:00Z","58.005","58.077","57.827","57.976","5894"
"XAGUSD","30m","2025-12-08T19:00:00Z","57.9763","58.0413","57.8313","58.0303","6014"
"XAGUSD","30m","2025-12-08T19:30:00Z","58.0307","58.127","57.963","58.0973","4991"
"XAGUSD","30m","2025-12-08T20:00:00Z","58.0973","58.1203","57.9283","58.0077","5598"
"XAGUSD","30m","2025-12-08T20:30:00Z","58.0037","58.047","57.8953","57.9627","3981"
"XAGUSD","30m","2025-12-08T21:00:00Z","57.9627","58.006","57.8873","57.9917","3826"
"XAGUSD","30m","2025-12-08T21:30:00Z","57.9907","58.0235","57.93","57.9947","3548"
"XAGUSD","30m","2025-12-08T22:00:00Z","57.9947","58.1097","57.9743","58.064","2706"
"XAGUSD","30m","2025-12-08T22:30:00Z","58.065","58.143","58.0607","58.1175","3013"
"XAGUSD","30m","2025-12-08T23:00:00Z","58.1175","58.1607","58.0933","58.145","534"
"XAGUSD","30m","2025-12-08T23:30:00Z","58.145","58.1488","58.095","58.1483","481"
"XAGUSD","30m","2025-12-09T01:00:00Z","58.148","58.166","58.074","58.089","256"
"XAGUSD","30m","2025-12-09T01:30:00Z","58.089","58.12","58.0713","58.109","500"
"XAGUSD","30m","2025-12-09T02:00:00Z","58.104","58.121","58.069","58.086","469"
"XAGUSD","30m","2025-12-09T02:30:00Z","58.09","58.1","57.972","57.988","948"
"XAGUSD","30m","2025-12-09T03:00:00Z","57.987","58.1357","57.8818","58.0437","4054"
"XAGUSD","30m","2025-12-09T03:30:00Z","58.045","58.1743","58.037","58.127","2851"
"XAGUSD","30m","2025-12-09T04:00:00Z","58.1292","58.162","58.0197","58.0625","2038"
"XAGUSD","30m","2025-12-09T04:30:00Z","58.067","58.1935","57.878","58.1694","5353"
"XAGUSD","30m","2025-12-09T05:00:00Z","58.173","58.4177","58.169","58.3441","4948"
"XAGUSD","30m","2025-12-09T05:30:00Z","58.3441","58.3443","58.203","58.283","2876"
"XAGUSD","30m","2025-12-09T06:00:00Z","58.284","58.323","58.188","58.315","1340"
"XAGUSD","30m","2025-12-09T06:30:00Z","58.3141","58.369","58.1617","58.223","1701"
"XAGUSD","30m","2025-12-09T07:00:00Z","58.223","58.24","58.054","58.104","2124"
"XAGUSD","30m","2025-12-09T07:30:00Z","58.104","58.1157","57.656","57.696","5993"
"XAGUSD","30m","2025-12-09T08:00:00Z","57.706","57.926","57.585","57.891","6878"
"XAGUSD","30m","2025-12-09T08:30:00Z","57.891","58.067","57.846","57.976","3407"
"XAGUSD","30m","2025-12-09T09:00:00Z","57.977","58.0737","57.888","57.973","3550"
"XAGUSD","30m","2025-12-09T09:30:00Z","57.973","58.0734","57.9237","58.03","1456"
"XAGUSD","30m","2025-12-09T10:00:00Z","58.03","58.3467","58.03","58.176","2975"
"XAGUSD","30m","2025-12-09T10:30:00Z","58.176","58.352","58.145","58.347","2327"
"XAGUSD","30m","2025-12-09T11:00:00Z","58.3477","58.916","58.317","58.776","6665"
"XAGUSD","30m","2025-12-09T11:30:00Z","58.776","58.841","58.4237","58.519","3836"
"XAGUSD","30m","2025-12-09T12:00:00Z","58.522","58.63","58.386","58.607","3649"
"XAGUSD","30m","2025-12-09T12:30:00Z","58.607","58.623","58.499","58.595","4274"
"XAGUSD","30m","2025-12-09T13:00:00Z","58.595","58.6178","58.4443","58.569","3474"
"XAGUSD","30m","2025-12-09T13:30:00Z","58.5723","58.6327","58.478","58.5193","2265"
"XAGUSD","30m","2025-12-09T14:00:00Z","58.5193","58.6431","58.5193","58.595","2781"
"XAGUSD","30m","2025-12-09T14:30:00Z","58.591","58.7177","58.5723","58.697","2837"
"XAGUSD","30m","2025-12-09T15:00:00Z","58.697","58.913","58.599","58.6827","8966"
"XAGUSD","30m","2025-12-09T15:30:00Z","58.6803","58.893299999999996","58.5153","58.859","8207"
"XAGUSD","30m","2025-12-09T16:00:00Z","58.8608","58.894","58.613","58.864","6771"
"XAGUSD","30m","2025-12-09T16:30:00Z","58.864","59.219","58.83","59.0932","13999"
"XAGUSD","30m","2025-12-09T17:00:00Z","59.0915","59.744","58.8741","59.6407","12093"
"XAGUSD","30m","2025-12-09T17:30:00Z","59.6437","60.2943","59.5673","60.2213","12558"
"XAGUSD","30m","2025-12-09T18:00:00Z","60.2213","60.529","60.0543","60.37","8914"
"XAGUSD","30m","2025-12-09T18:30:00Z","60.37","60.566","60.291","60.3093","8324"
"XAGUSD","30m","2025-12-09T19:00:00Z","60.3093","60.4733","60.081","60.1727","5282"
"XAGUSD","30m","2025-12-09T19:30:00Z","60.1727","60.295","60.064","60.181","5222"
"XAGUSD","30m","2025-12-09T20:00:00Z","60.1773","60.43","60.166","60.4229","5206"
"XAGUSD","30m","2025-12-09T20:30:00Z","60.422","60.573","60.2921","60.543","3825"
"XAGUSD","30m","2025-12-09T21:00:00Z","60.543","60.7134","60.4923","60.6866","4109"
"XAGUSD","30m","2025-12-09T21:30:00Z","60.6849","60.734","60.5857","60.6627","2523"
"XAGUSD","30m","2025-12-09T22:00:00Z","60.6627","60.7345","60.562","60.6443","2667"
"XAGUSD","30m","2025-12-09T22:30:00Z","60.6443","60.794","60.551","60.7787","3283"
"XAGUSD","30m","2025-12-09T23:00:00Z","60.779","60.823","60.692","60.7227","1372"
"XAGUSD","30m","2025-12-09T23:30:00Z","60.7227","60.7367","60.63","60.649","718"
"XAGUSD","30m","2025-12-10T01:00:00Z","60.581","60.914","60.505","60.845","983"
"XAGUSD","30m","2025-12-10T01:30:00Z","60.85","60.886","60.69","60.842","926"
"XAGUSD","30m","2025-12-10T02:00:00Z","60.852","60.892","60.694","60.734","687"
"XAGUSD","30m","2025-12-10T02:30:00Z","60.739","60.749","60.6357","60.6607","903"
"XAGUSD","30m","2025-12-10T03:00:00Z","60.6605","61.3347","60.619","61.3043","6899"
