"symbol","tf","time","open","high","low","close","volume"
"XAUUSD","30m","2025-12-08T12:00:00Z","4208.03","4210.37","4205.52","4205.91","4978"
"XAUUSD","30m","2025-12-08T12:30:00Z","4205.84","4208.27","4201.19","4203.63","8710"
"XAUUSD","30m","2025-12-08T13:00:00Z","4203.61","4209.67","4199.73","4209.55","5122"
"XAUUSD","30m","2025-12-08T13:30:00Z","4209.42","4214.24","4208.47","4208.63","7143"
"XAUUSD","30m","2025-12-08T14:00:00Z","4208.68","4212.91","4208.37","4211.85","6701"
"XAUUSD","30m","2025-12-08T14:30:00Z","4211.67","4215.57","4211.02","4213.78","7162"
"XAUUSD","30m","2025-12-08T15:00:00Z","4213.83","4214.76","4202.49","4203.11","16167"
"XAUUSD","30m","2025-12-08T15:30:00Z","4203.14","4206.4","4197.91","4201.7","15049"
"XAUUSD","30m","2025-12-08T16:00:00Z","4201.72","4211.7","4197.38","4208.9","12407"
"XAUUSD","30m","2025-12-08T16:30:00Z","4208.95","4211","4195.51","4196.55","21080"
"XAUUSD","30m","2025-12-08T17:00:00Z","4196.53","4196.86","4176.15","4191.95","19520"
"XAUUSD","30m","2025-12-08T17:30:00Z","4192.06","4193.2","4182.14","4182.98","15640"
"XAUUSD","30m","2025-12-08T18:00:00Z","4182.94","4196.26","4176.98","4194.97","13390"
"XAUUSD","30m","2025-12-08T18:30:00Z","4195.06","4197.96","4187.95","4191.55","11747"
"XAUUSD","30m","2025-12-08T19:00:00Z","4191.55","4192.19","4185.62","4192.14","10344"
"XAUUSD","30m","2025-12-08T19:30:00Z","4192.09","4195.67","4188.13","4194.99","11459"
"XAUUSD","30m","2025-12-08T20:00:00Z","4194.96","4195.74","4187.12","4188.82","9919"
"XAUUSD","30m","2025-12-08T20:30:00Z","4188.77","4192.19","4184.5","4187.21","9654"
"XAUUSD","30m","2025-12-08T21:00:00Z","4187.32","4188.66","4184.23","4187.9","9079"
"XAUUSD","30m","2025-12-08T21:30:00Z","4187.88","4188.99","4185.04","4187.11","7936"
"XAUUSD","30m","2025-12-08T22:00:00Z","4187","4191.38","4184.89","4189.25","8151"
"XAUUSD","30m","2025-12-08T22:30:00Z","4189.25","4195.58","4189.15","4191.47","7787"
"XAUUSD","30m","2025-12-08T23:00:00Z","4191.49","4193.19","4189.86","4190.53","2527"
"XAUUSD","30m","2025-12-08T23:30:00Z","4190.48","4190.81","4188.27","4190.65","3321"
"XAUUSD","30m","2025-12-09T01:00:00Z","4191.4","4194.045","4190.44","4192.905","2032"
"XAUUSD","30m","2025-12-09T01:30:00Z","4192.905","4195.34","4191.595","4194.64","2889"
"XAUUSD","30m","2025-12-09T02:00:00Z","4194.575","4195.6","4191.245","4192.245","3238"
"XAUUSD","30m","2025-12-09T02:30:00Z","4192.27","4194.155","4189.92","4190.36","9007"
"XAUUSD","30m","2025-12-09T03:00:00Z","4190.36","4197.326","4188.78","4194.17","13054"
"XAUUSD","30m","2025-12-09T03:30:00Z","4194.14","4197.25","4193.89","4196.2","11862"
"XAUUSD","30m","2025-12-09T04:00:00Z","4196.27","4197.17","4189.53","4190.61","6466"
"XAUUSD","30m","2025-12-09T04:30:00Z","4190.66","4191.08","4186.03","4189.88","10969"
"XAUUSD","30m","2025-12-09T05:00:00Z","4189.94","4198.2","4189.92","4198","6945"
"XAUUSD","30m","2025-12-09T05:30:00Z","4197.98","4198.73","4193.71","4194.51","4723"
"XAUUSD","30m","2025-12-09T06:00:00Z","4194.53","4195.61","4191.91","4193.7","7202"
"XAUUSD","30m","2025-12-09T06:30:00Z","4193.71","4195.71","4184.71","4186.92","7415"
"XAUUSD","30m","2025-12-09T07:00:00Z","4186.9","4187.3","4183.53","4185.38","7793"
"XAUUSD","30m","2025-12-09T07:30:00Z","4185.26","4185.8","4178.165","4179.79","13425"
"XAUUSD","30m","2025-12-09T08:00:00Z","4179.8","4179.96","4170.11","4178.64","11449"
"XAUUSD","30m","2025-12-09T08:30:00Z","4178.65","4184.08","4176.5","4182","9138"
"XAUUSD","30m","2025-12-09T09:00:00Z","4182.06","4185.81","4175.99","4178.52","10131"
"XAUUSD","30m","2025-12-09T09:30:00Z","4178.54","4183.69","4178.44","4182.42","11378"
"XAUUSD","30m","2025-12-09T10:00:00Z","4182.39","4189.28","4182.39","4186.31","10221"
"XAUUSD","30m","2025-12-09T10:30:00Z","4186.28","4191.94","4185.63","4191.84","8455"
"XAUUSD","30m","2025-12-09T11:00:00Z","4191.83","4212.94","4190.87","4207.11","14389"
"XAUUSD","30m","2025-12-09T11:30:00Z","4207.12","4209.13","4200.6","4202.8","14014"
"XAUUSD","30m","2025-12-09T12:00:00Z","4203.12","4208.44","4201.73","4204.63","11964"
"XAUUSD","30m","2025-12-09T12:30:00Z","4204.57","4206.01","4201.35","4203.98","11339"
"XAUUSD","30m","2025-12-09T13:00:00Z","4203.97","4205.57","4201.24","4203.88","9685"
"XAUUSD","30m","2025-12-09T13:30:00Z","4203.85","4206.52","4202.57","4203.1","6547"
"XAUUSD","30m","2025-12-09T14:00:00Z","4203.19","4205.28","4198.52","4202.35","9363"
